Departamento,Provincia,Internet,Agua,Electricidad,Educación,Pobreza extrema
Amazonas,Chachapoyas,10.86,92.05,87.49,35.32,11.69
Amazonas,Bagua,4.66,75.77,67.64,35.15,23.06
Amazonas,Bongara,3.00,91.50,82.44,30.93,10.74
Amazonas,Condorcanqui,0.58,84.36,18.44,42.19,38.14
Amazonas,Luya,02.05,85.44,85.33,32.81,24.99
Amazonas,Rodríguez de Mendoza,2.13,86.59,77.44,30.59,13.32
Amazonas,Utcubamba,4.46,56.34,80.77,33.90,12.19
Ánchaz,Huaraz,25.72,89.64,89.66,35.92,3.12
Ánchaz,Aija,3.14,92.61,78.72,30.98,12.81
Ánchaz,Antonio Raymondi,0.76,82.78,81.59,38.43,21.31
Ánchaz,Asunción,1.82,91.34,88.27,33.10,7.81
Ánchaz,Bolognesi,2.55,89.44,78.84,30.08,4.79
Ánchaz,Carhuaz,7.28,90.63,79.58,30.60,10.86
Ánchaz,Carlos Fermin Fitzacarrald,1.43,77.80,65.50,35.55,17.18
Ánchaz,Casma,12.83,80.25,79.92,30.53,2.94
Ánchaz,Corongo,2.62,92.73,89.68,28.83,08.03
Ánchaz,Huari,2.64,81.50,80.78,32.11,7.87
Ánchaz,Huarmey,13.38,84.79,83.94,29.45,2.93
Ánchaz,Huaylas,8.96,93.16,83.96,32.46,17.62
Ánchaz,Mariscal Luzuriaga,0.57,83.33,69.50,36.54,16.73
Ánchaz,Ocros,1.76,84.81,68.73,25.64,7.46
Ánchaz,Pallasca,1.50,87.66,81.37,34.73,11.86
Ánchaz,Pomabamba,1.62,83.23,67.27,37.96,16.79
Ánchaz,Recuay,4.26,87.58,79.66,30.27,11.69
Ánchaz,Santa,30.44,90.56,90.85,32.60,01.08
Ánchaz,Sihuas,3.49,86.90,77.81,35.65,8.69
Ánchaz,Yungay,4.33,93.00,79.81,31.65,12.10
Apurimac,Abancay,18.93,91.56,90.66,38.16,7.75
Apurimac,Andahuaylas,9.22,88.32,79.09,36.46,13.79
Apurimac,Antabamba,0.39,93.47,68.90,30.95,28.16
Apurimac,Aymaraes,2.86,89.70,82.36,29.29,16.03
Apurimac,Cotabambas,02.01,75.15,68.99,33.94,34.33
Apurimac,Chincheros,1.73,87.34,74.78,35.41,21.22
Apurimac,Grau,0.39,91.85,79.16,34.40,21.09
Arequipa,Arequipa,38.73,88.49,92.15,34.43,0.90
Arequipa,Camaná,17.22,70.75,89.43,29.31,1.28
Arequipa,Caraveli,10.70,54.33,87.44,26.60,2.14
Arequipa,Castilla,11.39,89.30,87.78,28.90,7.30
Arequipa,caylloma,11.15,90.85,75.37,30.77,6.12
Arequipa,Condesuyos,5.39,88.38,68.46,24.47,13.81
Arequipa,Islay,21.12,87.96,89.11,28.43,01.06
Arequipa,La Unión,1.00,94.80,78.48,30.98,23.82
Ayacucho,Huamanga,20.47,86.52,86.76,40.34,11.69
Ayacucho,Cangallo,1.55,92.09,69.71,33.36,32.65
Ayacucho,Huanca Sancos,0.32,83.68,72.90,33.61,26.37
Ayacucho,Huanta,6.49,87.30,82.48,36.85,27.04
Ayacucho,La Mar,2.49,84.81,70.30,33.92,26.00
Ayacucho,Lucanas,1.94,90.59,75.87,29.67,19.12
Ayacucho,Páucar del Sara Sara,2.88,93.31,86.71,29.88,19.00
Ayacucho,Parinacochas,3.40,77.27,85.13,33.35,22.07
Ayacucho,Sucre,1.99,87.43,80.20,32.27,30.84
Ayacucho,Víctor Fajardo,1.41,85.96,78.37,29.38,32.10
Ayacucho,Vilcas Huamán,0.58,80.63,76.34,28.82,29.26
Cajamarca,Cajamarca,24.04,87.46,86.42,36.11,15.67
Cajamarca,Cajabamba,5.25,85.91,75.21,33.51,42.85
